t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-200.0,323.6363636363636,61.21704576196792,18.84587289992698,14.735247005852129
-200.0,327.27272727272725,62.62950940465654,7.266726185645115,14.437268116833806
-200.0,330.9090909090909,61.34143246261817,7.266726185645115,14.501666564177867
-200.0,334.54545454545456,60.008212610022404,7.266726185645115,14.672216275731301
-200.0,338.1818181818182,58.63134811175734,7.266726185645115,14.945896699685889
-200.0,341.8181818181818,59.73651450849269,-4.312420528636711,14.25920953059231
-200.0,345.45454545454544,58.21813962125028,-4.312420528636711,14.425201669974332
-200.0,349.09090909090907,56.65842429199975,-4.312420528636711,14.711587266384758
-200.0,352.7272727272727,57.61165720137595,-15.891567242918578,13.819839956986801
-200.0,356.3636363636364,55.904043177641434,-15.891567242918578,14.005556641961055
-200.0,360.0,54.15887214401147,-15.891567242918578,14.336708348238904
-400.0,0.0,49.98279487039022,-21.14186258330402,13.059566211748606
-400.0,3.6363636363636362,48.94249426062174,-21.14186258330402,13.7078470692896
-400.0,7.2727272727272725,47.888125789209724,-21.14186258330402,14.367294784533934
-400.0,10.909090909090908,47.10865420593724,-34.72100729357986,12.814312720183093
-400.0,14.545454545454545,46.02554713038719,-34.72100729357986,13.542056845010112
-400.0,18.18181818181818,44.93410600851481,-34.72100729357986,14.278621565635152
-400.0,21.818181818181817,44.284320778184615,-48.30015200385569,12.924847020819394
-400.0,25.454545454545453,43.17914868684576,-48.30015200385569,13.744597837479333
-400.0,29.09090909090909,42.0738591296487,-48.30015200385569,14.569172251768556
-400.0,32.72727272727273,41.675547090081146,-61.87929671413157,13.506845195812588
-400.0,36.36363636363636,40.576001052548136,-61.87929671413157,14.423442210621758
-400.0,40.0,40.48702271604941,-75.45844142440741,13.633127253115532
-400.0,43.63636363636363,39.41009741114291,-75.45844142440741,14.647215672531845
-400.0,47.27272727272727,39.64430418832892,-89.03758613468324,14.183570156778366
-400.0,50.90909090909091,40.17651156959662,-102.61673084495908,13.99331955919402
-400.0,54.54545454545455,40.99100531777562,-116.1958755552349,14.126478946672558
-400.0,58.18181818181818,42.079051637634244,-129.77502026551076,14.634181857020085
-400.0,61.81818181818181,56.2505030474409,33.17471625779936,14.801344322822144
-400.0,65.45454545454545,56.513121405693326,33.17471625779936,14.828003825665169
